time,position,"
"
"-0.000074486999999999993428596856, 90.000000
"
"-0.025382259000000000764840635270, 90.000000
"
"-0.038144316999999997030990073199, 88.920000
"
"-0.054219271999999998912223020398, 86.760000
"
"-0.066404121999999995984431677698, 83.520000
"
"-0.081209396000000003135177450986, 80.280000
"
"-0.097545844000000006546180486566, 75.960000
"
"-0.109531744999999999801154615398, 71.640000
"
"-0.124543582999999999372242598383, 66.240000
"
"-0.139223021000000002356244976909, 60.840000
"
"-0.154601216000000013517379215955, 54.360000
"
"-0.171982345000000008683471719451, 47.880000
"
"-0.184109771000000005392038815444, 42.480000
"
"-0.196153679999999996930171164422, 38.160000
"
"-0.211558881000000004179995016784, 31.680000
"
"-0.227424026000000001346279532299, 24.120000
"
"-0.244487651999999999752333224023, 16.560000
"
"-0.264625694000000022398921828426, 7.920000
"
"-0.283239344999999975716065137021, 0.360000
"
"-0.295408049999999977597298084220, -5.040000
"
"-0.311185725000000024120794250848, -8.280000
"
"-0.323315147999999996653031075766, -8.280000
"
"-0.343229439000000025039582851605, -10.440000
"
"-0.356228521999999991898278040026, -10.440000
"
"-0.372143227000000020865400074399, -9.360000
"
"-0.384553075999999993683786669862, -7.200000
"
"-0.399462215000000009368363862450, -7.200000
"
"-0.414315967000000007214310926429, -3.960000
"
"-0.430310943000000001301685870203, 0.360000
"
"-0.442492298000000006119591944298, 2.520000
"
"-0.458950919999999984444372103098, 4.680000
"
"-0.471212754000000011433968438723, 4.680000
"
"-0.483219253000000015241255368892, 4.680000
"
"-0.496665087999999976808851442911, 2.520000
"
"-0.513603252999999981831535933452, 0.360000
"
"-0.537446055999999949825962630712, -6.120000
"
"-0.550107495000000001894591150631, -8.280000
"
"-0.564586569000000038087705434009, -10.440000
"
"-0.579142667000000055388397868228, -10.440000
"
"-0.594525564000000006359414328472, -8.280000
"
"-0.609622666000000035246841889602, -6.120000
"
"-0.626206473999999957413820084184, -3.960000
"
"-0.640394283000000008598817657912, 0.360000
"
"-0.654339906999999998404859979928, 3.600000
"
"-0.667077661999999960151797040453, 4.680000
"
"-0.687250386999999962611695991654, 4.680000
"
"-0.700838719000000054393240134232, 3.600000
"
"-0.714392012000000020677248357970, 1.440000
"
"-0.726806348999999962678941756167, -1.800000
"
"-0.745439630000000019727224298549, -3.960000
"
"-0.757840858999999977818617935554, -3.960000
"
"-0.785524997000000002600472726044, -2.880000
"
"-0.798169039000000024586256586190, -0.720000
"
"-0.810237819000000025759788968571, 1.440000
"
"-0.826570673999999949721484426846, 3.600000
"
"-0.842536249999999986570742294134, 4.680000
"
"-0.854581393000000022475148853118, 4.680000
"
"-0.866792323999999947403694022796, 3.600000
"
"-0.879469158000000028607701096917, 1.440000
"
"-0.896453636000000053662972732127, -1.800000
"
"-0.912101410999999973050478274672, -5.040000
"
"-0.924589985999999974808361002943, -6.120000
"
"-0.940104681999999969299608437723, -5.040000
"
"-0.952995574000000011949396139244, -3.960000
"
"-0.969572408999999968415295370505, -0.720000
"
"-0.984518957999999999586293597531, 1.440000
"
"-0.998077452999999947813591916201, 4.680000
"
"-1.013218044999999900568354860297, 5.760000
"
"-1.040749337000000052100290304224, 3.600000
"
"-1.053540066000000052781615522690, 1.440000
"
"-1.070090476000000068168560574122, -1.800000
"
"-1.083021900000000092845198196301, -3.960000
"
"-1.098490654999999982521785568679, -5.040000
"
"-1.114428640999999942096110316925, -3.960000
"
"-1.130818963999999926528516880353, -2.880000
"
"-1.143889793000000043576847019722, -0.720000
"
"-1.161326607999999982467898007599, 2.520000
"
"-1.175449587999999989662569532811, 5.760000
"
"-1.190996742000000052641439651779, 6.840000
"
"-1.202914757000000056663679970370, 6.840000
"
"-1.218533319000000059162402976654, 5.760000
"
"-1.233880104999999893777840043185, 2.520000
"
"-1.246257989000000065971107687801, 0.360000
"
"-1.264020428000000029200577955635, -3.960000
"
"-1.278805017999999904532160144299, -7.200000
"
"-1.291575023999999904944502304716, -9.360000
"
"-1.309455521000000066678126131592, -8.280000
"
"-1.321764783999999970376393321203, -8.280000
"
"-1.338763619000000071324052441923, -6.120000
"
"-1.350488963000000097736119641922, -3.960000
"
"-1.366719116999999927841713542875, 0.360000
"
"-1.378786274000000089401396508038, 2.520000
"
"-1.391853940000000067200858211436, 4.680000
"
"-1.405745215999999908618178778852, 4.680000
"
"-1.422072288000000073182604864996, 3.600000
"
"-1.434134658999999922812662589422, 2.520000
"
"-1.449500046000000041956923269026, -0.720000
"
"-1.466184616999999912323460193875, -6.120000
"
"-1.480057501000000108604126580758, -7.200000
"
"-1.494541268000000089344325715501, -6.120000
"
"-1.511073410000000061259584072104, -5.040000
"
"-1.525106837999999909172288425907, 0.360000
"
"-1.552122956999999914273757894989, 3.600000
"
"-1.569099279000000013439830581774, 4.680000
"
"-1.581548903999999922120878181886, 4.680000
"
"-1.596879710000000063274683270720, 3.600000
"
"-1.610527924000000110638097794435, 1.440000
"
"-1.626637464000000088404362941219, -1.800000
"
"-1.638677340000000093311882665148, -3.960000
"
"-1.653863539999999909824168753403, -5.040000
"
"-1.670524837000000095699192570464, -5.040000
"
"-1.683425423999999948065919852525, -2.880000
"
"-1.697536149999999910420456217253, -0.720000
"
"-1.709777901999999905058302829275, 2.520000
"
"-1.725449698000000031683498491475, 4.680000
"
"-1.742379738999999982951294441591, 5.760000
"
"-1.754900514000000022463154891739, 5.760000
"
"-1.777154665999999938463815851719, 3.600000
"
"-1.789562458000000022551034817297, -0.720000
"
"-1.802388888999999938533846943756, -2.880000
"
"-1.814476294000000100581360129581, -3.960000
"
"-1.830458697999999939654003355827, -2.880000
"
"-1.846654083000000001746343514242, -1.800000
"
"-1.859049973999999938456539894105, 0.360000
"
"-1.874568588999999896316239755834, 2.520000
"
"-1.887028273999999949950279187760, 3.600000
"
"-1.904602335000000090659000306914, 2.520000
"
"-1.920428770000000007200924301287, 0.360000
"
"-1.936536932000000099662884167628, -2.880000
"
"-1.950490481000000109190750663402, -5.040000
"
"-1.969535102000000037492100091185, -6.120000
"
"-1.981881264000000086866748461034, -5.040000
"
"-1.997508824000000071663407652522, -2.880000
"
"-2.014233583000000216145508602494, -0.720000
"
"-2.026361021000000040004351831158, 2.520000
"
"-2.043122149999999859204535823665, 5.760000
"
"-2.058436980000000193768983081100, 5.760000
"
"-2.073899416000000162085825650138, 5.760000
"
"-2.090972277000000101310206446215, 3.600000
"
"-2.105734222000000155361476572580, 0.360000
"
"-2.120851968000000198344423552044, -2.880000
"
"-2.134989784000000057062607083935, -5.040000
"
"-2.150423672000000063775360104046, -7.200000
"
"-2.162944822000000044681655708700, -6.120000
"
"-2.179022772000000163217237059143, -5.040000
"
"-2.191060240000000103322008726536, -2.880000
"
"-2.206979598999999847563913135673, 0.360000
"
"-2.218639959999999966555606079055, 2.520000
"
"-2.234219622999999987911223797710, 3.600000
"
"-2.246460834000000073018554758164, 3.600000
"
"-2.262690591999999778494156998931, 2.520000
"
"-2.274523859999999952918869894347, 0.360000
"
"-2.290732395000000032325715437764, -2.880000
"
"-2.303257914000000017296088117291, -5.040000
"
"-2.319651674000000163289314514259, -6.120000
"
"-2.334873913000000023032498575049, -5.040000
"
"-2.347213582999999825773329575895, -3.960000
"
"-2.362794161000000059402736951597, -1.800000
"
"-2.375022929000000004862158675678, 0.360000
"
"-2.391587057000000182682697413838, 3.600000
"
"-2.403824564999999857661805435782, 4.680000
"
"-2.419454829999999834200252735172, 4.680000
"
"-2.435180557999999884088992985198, 2.520000
"
"-2.447833082999999909645794105018, 0.360000
"
"-2.459693108999999822117388248444, -1.800000
"
"-2.478570941000000082965470937779, -5.040000
"
"-2.491210065999999834218670002883, -5.040000
"
"-2.506461477000000215298314287793, -3.960000
"
"-2.522595523000000117264107757364, -2.880000
"
"-2.534549971000000123666495710495, -0.720000
"
"-2.552809873999999812355099493288, 3.600000
"
"-2.570418725000000126357235785690, 6.840000
"
"-2.582541793999999946152001939481, 7.920000
"
"-2.599539415999999825146460352698, 7.920000
"
"-2.611950954000000102439571492141, 5.760000
"
"-2.628538724000000215141881199088, 3.600000
"
"-2.641696610999999972335672282497, 1.440000
"
"-2.657816480000000147754235513275, -2.880000
"
"-2.670334704000000058954356063623, -5.040000
"
"-2.686251284999999988656327332137, -7.200000
"
"-2.703869666000000115957391244592, -7.200000
"
"-2.715603988999999884867975197267, -5.040000
"
"-2.731434135999999845978436496807, -3.960000
"
"-2.747887423999999967350049701054, 2.520000
"
"-2.760642187000000191687831829768, 4.680000
"
"-2.775543572000000125399310491048, 5.760000
"
"-2.788635499000000184111058842973, 4.680000
"
"-2.805686419000000153545215653139, 2.520000
"
"-2.819747141000000123511881611194, 0.360000
"
"-2.836322860000000112279394670622, -2.880000
"
